start,destination,transport_mode,distance,duration,cost
"25.808093,112.271926","25.73685,112.2431",驾车,11525.191921482483,1383.0230305778978,5.762595960741241
"25.73685,112.2431","25.904305,112.203287",驾车,24484.915080737323,2938.1898096884784,12.242457540368662
"25.808093,112.271926","25.904305,112.203287",驾车,14958.938148721298,1795.0725778465555,7.479469074360649
"25.808093,112.271926","25.73685,112.2431",驾车,11525.191921482483,1383.0230305778978,5.762595960741241
"25.73685,112.2431","25.904305,112.203287",驾车,24484.915080737323,2938.1898096884784,12.242457540368662
"25.808093,112.271926","25.904305,112.203287",驾车,14958.938148721298,1795.0725778465555,7.479469074360649
"25.808093,112.271926","25.90751,112.19782",驾车,16022.231324689592,1922.667758962751,8.011115662344796
"25.808093,112.271926","25.90582,112.207372",驾车,15891.157520738052,1906.938902488566,7.945578760369026
"25.73685,112.2431","25.90751,112.19782",驾车,25548.208256705613,3065.7849908046733,12.774104128352807
"25.73685,112.2431","25.90582,112.207372",驾车,25417.13445275408,3050.0561343304894,12.70856722637704
"25.904305,112.203287","25.90751,112.19782",驾车,1063.2931759682947,127.59518111619535,0.5316465879841473
"25.904305,112.203287","25.90582,112.207372",驾车,994.864336772765,119.38372041273179,0.4974321683863825
"25.90751,112.19782","25.90582,112.207372",驾车,1324.5616217247525,158.94739460697028,0.6622808108623762
